,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,month 1,accommodates,bathrooms,bedrooms,bed_type,review_scores_rating,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed,Hot_water,no_of_amenities
37,1.0,32.0,0.0,119,4,109,499.0,1.14,1,285,244.0,4,1.0,2.0,4.0,98.0,1.0,1.0,1.0,1.0,0.0,1.0,24
38,6.0,98.0,0.0,90,5,65,503.0,0.66,2,186,196.0,4,1.0,1.0,4.0,96.0,1.0,1.0,1.0,0.0,0.0,1.0,35
39,11.0,4.0,1.0,42,3,11,533.0,0.12,1,65,237.0,2,1.0,1.0,3.0,84.0,1.0,0.0,1.0,1.0,0.0,1.0,20
40,1.0,32.0,1.0,56,2,101,525.0,1.02,1,32,232.0,2,1.0,1.0,4.0,97.0,0.0,0.0,0.0,0.0,0.0,1.0,13
41,6.0,98.0,1.0,50,4,151,737.0,1.63,1,0,231.0,2,1.0,1.0,4.0,96.0,0.0,0.0,0.0,1.0,0.0,1.0,12
42,4.0,18.0,0.0,48,60,38,566.0,0.48,2,264,269.0,2,1.0,1.0,4.0,98.0,1.0,0.0,1.0,1.0,0.0,1.0,28
43,6.0,98.0,0.0,160,3,35,535.0,0.35,1,32,258.0,6,2.0,2.0,4.0,100.0,1.0,0.0,1.0,1.0,0.0,1.0,31
44,6.0,98.0,0.0,70,4,0,0.0,0.0,1,129,250.0,2,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12
45,1.0,32.0,0.0,88,5,5,1243.0,0.07,1,0,249.0,2,1.0,1.0,4.0,100.0,1.0,0.0,1.0,1.0,0.0,1.0,19
46,4.0,2.0,1.0,55,4,156,520.0,1.6,1,33,280.0,2,1.0,1.0,4.0,93.0,1.0,0.0,0.0,1.0,0.0,1.0,22
47,10.0,110.0,2.0,88,2,0,0.0,0.0,1,365,231.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,4.0,2.0,0.0,90,2,1,3338.0,0.01,1,67,219.0,2,1.0,1.0,4.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,29
49,0.0,79.0,0.0,55,60,11,1466.0,0.16,1,285,257.0,2,1.0,1.0,4.0,95.0,1.0,1.0,1.0,1.0,0.0,1.0,27
50,6.0,95.0,0.0,200,3,81,518.0,0.84,3,68,258.0,5,2.0,2.0,4.0,98.0,1.0,1.0,1.0,1.0,0.0,1.0,29
51,4.0,18.0,0.0,80,3,160,500.0,1.68,1,264,148.0,5,1.0,2.0,4.0,92.0,1.0,1.0,1.0,1.0,0.0,1.0,22
52,9.0,88.0,0.0,49,2,3,1129.0,0.03,1,0,228.0,1,1.0,1.0,4.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,13
53,4.0,2.0,0.0,55,90,72,656.0,0.88,1,352,234.0,4,1.0,2.0,4.0,97.0,1.0,1.0,0.0,1.0,0.0,1.0,23
54,6.0,97.0,0.0,130,5,32,499.0,0.37,2,211,241.0,4,1.5,2.0,4.0,95.0,0.0,1.0,1.0,0.0,0.0,0.0,9
55,6.0,98.0,0.0,90,5,76,509.0,0.85,2,149,214.0,4,1.0,1.0,4.0,97.0,1.0,1.0,0.0,0.0,0.0,1.0,35
